user_id,name,age,gender,city,employment_type,monthly_income,credit_score,signup_date,device_type
U-10164,Mahesh Dubey,31,Male,Chennai,Salaried,42530,795.0,2024-11-29,Android
U-10165,Rajesh Yadav,23,Male,Mumbai,Self-Employed,21328,635.0,2024-06-06,iOS
U-10166,Prasad Kulkarni,41,Male,Pune,Daily Wage Worker,13400,585.0,2024-09-29,Android
U-10167,Rohit Verma,27,Male,Delhi,Gig Worker,20238,687.0,2024-12-16,iOS
U-10168,Pankaj Jain,25,Male,Delhi,Salaried,40945,714.0,2024-05-29,Android
U-10169,Sonal Joshi,22,Female,Bengaluru,Daily Wage Worker,20573,637.0,2024-04-14,iOS
U-10170,Durga Das,33,Female,Chennai,Salaried,19897,799.0,2024-09-06,Android
U-10171,Rahul Sharma,35,Male,Delhi,Salaried,55114,637.0,2024-06-12,Android
U-10172,Priya Sharma,21,Female,Mumbai,Freelancer,26098,656.0,2024-09-22,iOS
U-10173,Dinesh Shah,31,Male,Chennai,Self-Employed,65910,692.0,2024-05-14,Android
U-10174,Ravi Nair,26,Male,Kolkata,Gig Worker,11630,609.0,2024-11-13,Android
U-10175,Mukesh Agarwal,34,Male,Pune,Self-Employed,42143,733.0,2024-12-19,Android
U-10176,Shyam Biswas,25,Male,Mumbai,Self-Employed,59447,664.0,2024-12-26,Android
U-10177,Vijay Singh,35,Male,Delhi,Self-Employed,79516,541.0,2024-07-14,Android
U-10178,Sanjay Mishra,28,Male,Kolkata,Gig Worker,36969,621.0,2024-12-11,Android
U-10179,Kiran Reddy,47,Male,Mumbai,Self-Employed,49903,668.0,2024-09-29,Android
U-10180,Vijay Singh,24,Male,Bengaluru,Salaried,48130,700.0,2024-11-06,iOS
U-10181,Sachin Wagh,28,Male,Delhi,Salaried,44544,718.0,2024-09-14,iOS
U-10182,Vandana Rao,24,Female,Chennai,Self-Employed,20775,567.0,2024-08-03,Android
U-10183,Pallavi Desai,46,Female,Hyderabad,Salaried,43936,706.0,2024-07-23,Android
U-10184,Suresh Patel,43,Male,Hyderabad,Gig Worker,13736,589.0,2024-09-26,Android
U-10185,Durga Das,26,Female,Pune,Salaried,33484,718.0,2024-08-10,iOS
U-10186,Shivam Shukla,34,Male,Mumbai,Freelancer,16938,737.0,2024-12-09,Android
U-10187,Shobha Wagh,40,Female,Pune,Self-Employed,59638,684.0,2024-09-13,Android
U-10188,Deepak Joshi,32,Male,Bengaluru,Salaried,48731,697.0,2024-08-19,iOS
U-10189,Ramesh Sahu,31,Male,Hyderabad,Salaried,38342,629.0,2024-04-30,Android
U-10190,Suresh Patel,26,Male,Pune,Salaried,58305,718.0,2024-11-23,iOS
U-10191,Champa Biswas,23,Female,Kolkata,Salaried,47473,766.0,2024-07-06,Android
U-10192,Radha Pillai,45,Female,Hyderabad,Salaried,22054,707.0,2024-05-14,iOS
U-10193,Rekha Verma,45,Female,Mumbai,Salaried,64374,732.0,2024-12-25,iOS
U-10194,Rekha Verma,34,Female,Bengaluru,Self-Employed,75157,644.0,2024-09-21,Android
U-10195,Anjali Singh,28,Female,Pune,Gig Worker,20965,646.0,2024-05-19,iOS
U-10196,Pallavi Desai,28,Female,Delhi,Salaried,61028,774.0,2024-06-16,Android
U-10197,Prasad Kulkarni,36,Male,Chennai,Salaried,40925,787.0,2024-10-18,iOS
U-10198,Kamla Thakur,45,Female,Mumbai,Salaried,51629,742.0,2024-09-16,iOS
U-10199,Kamla Thakur,44,Female,Kolkata,Gig Worker,27248,646.0,2024-11-03,iOS
U-10200,Amit Kumar,38,Male,Bengaluru,Self-Employed,26813,627.0,2024-12-05,iOS
